,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[64,65]","[9.397277,11.742621]","[9.618240,11.522519]","[9.906158,10.947144]","[9.499296,10.888321]","[9.236579,10.622902]","[8.924875,10.443463]","[8.571549,10.441175]","[8.466105,10.430824]","[8.277053,10.816996]","[8.650211,10.934119]","[8.622245,11.605157]","[8.345556,12.463326]"
"[65,66]","[9.378281,11.709616]","[9.567121,11.562208]","[9.906384,10.953275]","[9.503999,10.867678]","[9.279335,10.531155]","[8.892027,10.428261]","[8.599676,10.412213]","[8.457250,10.496326]","[8.394594,10.772560]","[8.726194,10.889731]","[8.626805,11.567188]","[8.325191,12.415096]"
"[66,67]","[9.327805,11.768134]","[9.653905,11.516331]","[9.891505,10.971916]","[9.509307,10.815468]","[9.236568,10.522717]","[8.848458,10.463601]","[8.608707,10.427155]","[8.383251,10.560792]","[8.430778,10.636840]","[8.638044,10.802502]","[8.688343,11.335215]","[8.320112,12.333911]"
"[67,68]","[9.301642,11.734332]","[9.640303,11.501604]","[9.866349,11.013566]","[9.533211,10.828491]","[9.229981,10.527866]","[8.830503,10.389870]","[8.564315,10.287476]","[8.382629,10.336512]","[8.298909,10.568835]","[8.613944,10.685341]","[8.693583,11.236275]","[8.406733,12.173989]"
"[68,69]","[9.209945,11.663600]","[9.541481,11.516954]","[9.899501,10.964059]","[9.535039,10.818777]","[9.206058,10.505070]","[8.784149,10.356222]","[8.537378,10.244423]","[8.382073,10.304080]","[8.290144,10.556250]","[8.578130,10.654131]","[8.606859,11.178847]","[8.395434,11.995663]"
"[69,70]","[9.070224,11.740966]","[9.479741,11.539458]","[9.850605,10.963982]","[9.506798,10.779917]","[9.214822,10.439614]","[8.754167,10.375875]","[8.611268,10.208240]","[8.438130,10.290504]","[8.271053,10.567840]","[8.532994,10.622284]","[8.661086,11.009338]","[8.361418,11.927752]"
"[70,71]","[9.049729,11.717640]","[9.452947,11.542503]","[9.801979,10.994635]","[9.511190,10.754165]","[9.181255,10.444811]","[8.694413,10.396466]","[8.613804,10.148178]","[8.420606,10.224852]","[8.310760,10.420936]","[8.468822,10.569982]","[8.628555,10.937981]","[8.391519,11.822801]"
"[71,72]","[9.009867,11.691674]","[9.423733,11.516530]","[9.753546,11.002908]","[9.486677,10.746026]","[9.165876,10.427764]","[8.719200,10.342245]","[8.586140,10.159240]","[8.428929,10.216916]","[8.354045,10.384521]","[8.423795,10.608243]","[8.660600,10.871313]","[8.363190,11.792007]"
"[72,73]","[8.920833,11.708375]","[9.395284,11.494776]","[9.722680,11.004051]","[9.472406,10.737753]","[9.149064,10.413578]","[8.706789,10.307602]","[8.535409,10.149726]","[8.420382,10.158832]","[8.297206,10.371095]","[8.381486,10.574213]","[8.622152,10.826132]","[8.357743,11.713035]"
"[73,74]","[8.838431,11.722481]","[9.367118,11.491064]","[9.702851,11.014499]","[9.464126,10.731106]","[9.122977,10.399566]","[8.678745,10.272518]","[8.505309,10.110076]","[8.423791,10.090303]","[8.272093,10.330704]","[8.405623,10.471184]","[8.629911,10.723607]","[8.345753,11.631174]"
