,"[1,1]","[2,2]","[3,3]","[4,4]","[5,5]","[6,6]","[7,7]","[8,8]","[9,9]","[10,10]","[11,11]","[12,12]"
"[71,72]","[31.636155,33.718152]","[32.453780,32.950472]","[32.399660,33.248226]","[32.429617,33.283520]","[31.675319,33.790430]","[32.078766,33.083259]","[29.245839,35.944298]","[32.258053,33.401272]","[32.495528,33.758326]","[32.746966,33.760667]","[32.558012,33.677875]","[31.065190,34.636258]"
"[72,73]","[31.641175,33.743851]","[32.452772,32.977191]","[32.364114,33.278562]","[32.409364,33.300118]","[31.711349,33.818382]","[32.153966,33.171554]","[29.744623,35.663631]","[32.318191,33.520321]","[32.560174,33.766902]","[32.749765,33.736584]","[32.560497,33.630407]","[30.990424,34.703415]"
"[73,74]","[31.614500,33.790704]","[32.439231,33.005470]","[32.371599,33.272915]","[32.394678,33.327454]","[31.740289,33.850845]","[32.204993,33.244975]","[30.059576,35.505857]","[32.410037,33.562175]","[32.587600,33.810361]","[32.761153,33.738476]","[32.552676,33.631675]","[30.954034,34.745921]"
"[74,75]","[31.616175,33.830165]","[32.433042,33.044926]","[32.366654,33.314809]","[32.395921,33.374286]","[31.768336,33.875891]","[32.247526,33.245657]","[29.857357,35.732284]","[32.441313,33.542633]","[32.616448,33.798094]","[32.783082,33.750876]","[32.558908,33.675097]","[31.054391,34.696566]"
"[75,76]","[31.613471,33.857626]","[32.419301,33.073480]","[32.340646,33.353736]","[32.393852,33.402283]","[31.820678,33.870776]","[32.305058,33.249757]","[29.872748,35.775829]","[32.453910,33.573030]","[32.634472,33.807621]","[32.795030,33.762019]","[32.608989,33.652696]","[31.095921,34.685648]"
"[76,77]","[31.645471,33.889415]","[32.418312,33.101998]","[32.348116,33.345367]","[32.400274,33.393293]","[31.833545,33.872404]","[32.292830,33.287914]","[29.907525,35.758414]","[32.466564,33.559938]","[32.647404,33.791776]","[32.821551,33.757411]","[32.657163,33.663431]","[31.163114,34.696832]"
"[77,78]","[31.646780,33.889732]","[32.388476,33.140936]","[32.332018,33.397096]","[32.407045,33.447349]","[31.844791,33.924019]","[32.296888,33.323244]","[29.888658,35.787256]","[32.441641,33.582441]","[32.641478,33.805026]","[32.813132,33.789149]","[32.652816,33.693981]","[31.218165,34.655185]"
"[78,79]","[31.699617,33.899235]","[32.384106,33.200724]","[32.318552,33.428755]","[32.406561,33.435980]","[31.903100,33.869380]","[32.330264,33.353295]","[30.063017,35.736794]","[32.513192,33.649431]","[32.742439,33.804674]","[32.864285,33.785768]","[32.683382,33.687943]","[31.131820,34.781459]"
"[79,80]","[31.654120,33.926891]","[32.362178,33.243836]","[32.340301,33.447324]","[32.433404,33.447662]","[31.829162,33.980174]","[32.359768,33.376040]","[30.212494,35.663806]","[32.552840,33.692292]","[32.744697,33.854624]","[32.857765,33.790082]","[32.659063,33.666681]","[31.057741,34.805730]"
"[80,81]","[31.624755,33.970105]","[32.345113,33.279547]","[32.334474,33.495144]","[32.463126,33.505971]","[32.107367,33.838681]","[32.462783,33.429914]","[30.608552,35.400508]","[32.577804,33.745823]","[32.732779,33.893287]","[32.863538,33.786079]","[32.662595,33.665702]","[31.067770,34.806481]"
